soil_ph,soil_moisture,soil_temperature,total_N,fertilizer_type,nh3,log_nh3,log_totalN,Ref
6.6,30,13.4,115.5,1,25.8,3.250374492,4.74927053,ALFAM21
5.8,31,16.2,153.2,1,25.8,3.250374492,5.031744257,ALFAM21
6.1,50,10.6,100,0,25.7,3.246490992,4.605170186,Salazar et al.7
6.4,24,9.7,139.4,1,25.7,3.246490992,4.937347498,ALFAM21
8.3,22,23.2,174,0,24.3,3.19047635,5.159055299,Yang et al.3
8,25.9,5.8,221.4,1,24.2,3.186352633,5.39997102,ALFAM21
6.1,20,23.3,150,1,24.2,3.186352633,5.010635294,ALFAM21
6.4,24,9.7,139.4,1,24,3.17805383,4.937347498,ALFAM21
6.6,45,9.1,180,1,24,3.17805383,5.192956851,Wolf et al.8
6.5,24,16.4,152.4,1,24,3.17805383,5.026508643,ALFAM21
8,25.1,17.4,164.8,1,23.7,3.165475048,5.104732617,ALFAM21
8.3,40,18.6,90.5,0,23.5,3.157000421,4.505349851,Yang et al.3
7.9,32.4,15.4,190.4,1,23.4,3.152736022,5.249127122,ALFAM21
6.5,24,16.4,152.4,1,23.2,3.144152279,5.026508643,ALFAM21
5.8,31,15.8,167.5,1,22.9,3.131136911,5.120983351,ALFAM21
7.1,30,25,88.4,1,22.7,3.122364924,4.48187197,Häni et al.9
7,100,12.9,108.4,1,22.6,3.117949906,4.685828089,ALFAM21
6.4,24,9.7,142.8,1,22.5,3.113515309,4.96144505,ALFAM21
7.1,32.5,7.7,115.6,1,22,3.091042453,4.750135956,ALFAM21
6.5,19,18.6,170,1,21.3,3.058707073,5.135798437,ALFAM21
6.5,19,18.4,218.9,1,21.2,3.054001182,5.388615005,ALFAM21
6.5,19,18.5,218.9,1,21.2,3.054001182,5.388615005,ALFAM21
6.8,14.5,11.9,129,1,20.9,3.039749159,4.859812404,ALFAM21
8,25.1,17.3,92.3,1,20.9,3.039749159,4.525044142,ALFAM21
6.1,50,16.3,100,1,20.5,3.020424886,4.605170186,Salazar et al.7
5.6,41,14,160.4,1,20.5,3.020424886,5.077670695,ALFAM21
7.1,30,11,90,1,20.4,3.015534901,4.49980967,Häni et al.9
7.9,32.4,15.4,190.4,1,19.9,2.990719732,5.249127122,ALFAM21
6.5,23,12.5,144.7,1,19.9,2.990719732,4.974662634,ALFAM21
6.5,24,16.4,151.7,1,19.3,2.960105096,5.021904886,ALFAM21
5.5,47,6.7,167.8,1,19.2,2.954910279,5.122772794,ALFAM21
5.8,31,16.1,134,1,19.2,2.954910279,4.8978398,ALFAM21
6.5,31,6.2,143.8,1,19.1,2.949688335,4.968423445,ALFAM21
6.5,19,18.2,182.8,1,19,2.944438979,5.208392659,ALFAM21
6.4,16.2,11.9,110.9,1,18.9,2.939161922,4.708628894,ALFAM21
7.1,30,10,93,1,18.9,2.939161922,4.532599493,Häni et al.9
6.5,24,16.4,145.2,1,18.6,2.923161581,4.978112102,ALFAM21
7.9,32.4,15.4,190.4,1,18.6,2.923161581,5.249127122,ALFAM21
6.9,30,20,78,1,18.6,2.923161581,4.356708827,Häni et al.9
7.1,13.8,12.8,188.3,1,18.4,2.912350665,5.238036436,ALFAM21
6.5,19,18.2,182.8,1,18.3,2.90690106,5.208392659,ALFAM21
6.6,17,11.9,105.3,1,18,2.890371758,4.656813419,ALFAM21
8,25.9,5.8,221.4,1,17.8,2.879198457,5.39997102,ALFAM21
5.8,10,17.5,193,1,17.7,2.87356464,5.262690189,ALFAM21
6.5,31,6.2,143.8,1,17.4,2.856470206,4.968423445,ALFAM21
8,29.6,6.2,160.2,1,17.3,2.850706502,5.076423035,ALFAM21
5.8,31,16.1,134,1,17,2.833213344,4.8978398,ALFAM21
6.5,19,18.2,182.8,1,16.8,2.821378886,5.208392659,ALFAM21
5.8,10,17.1,105.9,1,16.6,2.809402695,4.662495253,ALFAM21
7.9,32.4,15.4,190.4,1,16.6,2.809402695,5.249127122,ALFAM21
7.2,32.5,7.8,115.6,1,16.5,2.803360381,4.750135956,ALFAM21
6.5,19,18.5,218.9,1,16.4,2.797281335,5.388615005,ALFAM21
5.5,47,6.7,204.8,1,16.3,2.791165108,5.322033893,ALFAM21
7.2,32.5,7.9,115.6,1,16.1,2.778819272,4.750135956,ALFAM21
5.8,31,16.1,152.8,1,16,2.772588722,5.029129877,ALFAM21
8.1,60,15.5,120,0,16,2.772588722,4.787491743,Badagliacca et al.12
6.1,50,16.3,100,0,15.9,2.766319109,4.605170186,Salazar et al.7
5.7,50,9.7,100,1,15.8,2.76000994,4.605170186,Martínez-Lagos et al.11
5.8,31,15.8,192,1,15.8,2.76000994,5.257495372,ALFAM21
8,28.5,9.8,126.1,1,15.7,2.753660712,4.837075243,ALFAM21
8,29.6,6.2,160.2,1,15.7,2.753660712,5.076423035,ALFAM21
5.8,10,17.4,172.1,1,15.5,2.740840024,5.148075703,ALFAM21
6.5,23,12.5,143.6,1,15.5,2.740840024,4.967031657,ALFAM21
5.8,31,16.1,142.8,1,15.4,2.734367509,4.96144505,ALFAM21
8,29.6,6.2,160.2,1,15.3,2.727852828,5.076423035,ALFAM21
