soil_ph,soil_moisture,soil_temperature,total_N,fertilizer_type,nh3,log_nh3,log_totalN,Ref
6.5,24,16.4,145.2,1,7,1.945910149,4.978112102,ALFAM21
5.8,31,5.8,167.4,1,7,1.945910149,5.120386158,ALFAM21
8,28.5,9.8,149.1,1,7,1.945910149,5.004617222,ALFAM21
7.3,30,21,55.1,1,7,1.945910149,4.009149716,Häni et al.9
8,100,17.3,112.7,1,6.9,1.931521412,4.724729421,ALFAM21
8,28.5,9.8,149.1,1,6.9,1.931521412,5.004617222,ALFAM21
8,29.6,6.2,66.3,1,6.9,1.931521412,4.194189897,ALFAM21
6.5,17,20.6,95.5,1,6.8,1.916922612,4.559126247,ALFAM21
7.4,100,10.2,106.5,1,6.8,1.916922612,4.668144985,ALFAM21
5.8,31,5.3,170.7,1,6.8,1.916922612,5.13990763,ALFAM21
6.1,27.4,9.9,118.4,1,6.8,1.916922612,4.774068722,ALFAM21
5.8,23,19.9,36.5,1,6.8,1.916922612,3.597312261,ALFAM21
6.1,30,19.2,139.2,1,6.8,1.916922612,4.935911748,ALFAM21
5.5,47,6.7,204.8,1,6.8,1.916922612,5.322033893,ALFAM21
6.5,40,17,110,0,6.7,1.902107526,4.700480366,Ni et al.16
6.1,27.8,9.9,111.4,1,6.7,1.902107526,4.713127327,ALFAM21
5.8,28,14.6,165.4,1,6.5,1.871802177,5.108366783,ALFAM21
6.1,22.8,10.7,109.2,1,6.5,1.871802177,4.693181063,ALFAM21
6.5,28,1.6,116.7,1,6.5,1.871802177,4.759606539,ALFAM21
6.1,29.5,9.9,115.9,1,6.5,1.871802177,4.75272775,ALFAM21
6.5,24,16.4,97.4,1,6.3,1.840549633,4.578826211,ALFAM21
5.6,41,14,160.4,1,6.3,1.840549633,5.077670695,ALFAM21
5.8,23,19.8,73,1,6.3,1.840549633,4.290459441,ALFAM21
7.2,30.6,10.5,110.1,1,6.2,1.824549292,4.701389044,ALFAM21
7.7,30,2,49.4,1,6.2,1.824549292,3.899950424,Häni et al.9
6.5,17,20.5,95.5,1,6.2,1.824549292,4.559126247,ALFAM21
6.1,30,19.2,139.9,1,6.2,1.824549292,4.940927882,ALFAM21
6.5,30,4.5,130,1,6.2,1.824549292,4.86753445,ALFAM21
6.1,27.4,9.9,118.4,1,6.2,1.824549292,4.774068722,ALFAM21
6.1,24.5,10.7,118.3,1,6.1,1.808288771,4.773223771,ALFAM21
5.8,28,14.6,165.4,1,6.1,1.808288771,5.108366783,ALFAM21
5.8,31,15.3,178.3,1,6.1,1.808288771,5.183467525,ALFAM21
6.5,30,4.5,130,1,6.1,1.808288771,4.86753445,ALFAM21
7,15,11.7,103.2,1,6,1.791759469,4.636668853,Meade et al.17
5.5,50,8.7,100,1,6,1.791759469,4.605170186,Martínez-Lagos et al.11
6.5,30,4.8,89,1,6,1.791759469,4.48863637,ALFAM21
7.2,26.5,16.1,102,1,5.9,1.774952351,4.624972813,ALFAM21
5.5,25,12.2,92,1,5.9,1.774952351,4.521788577,Carozzi et al.5
7.7,30,21,35.1,1,5.9,1.774952351,3.55820113,Häni et al.9
8.2,23,13,122,0,5.8,1.757857918,4.804021045,Huo et al.13
7.3,30,23,46.4,1,5.8,1.757857918,3.837299459,Häni et al.9
5.8,23,19.7,99,1,5.7,1.740466175,4.59511985,ALFAM21
6.1,27.8,9.9,111.4,1,5.7,1.740466175,4.713127327,ALFAM21
6.8,30,16,69.6,1,5.7,1.740466175,4.242764567,Häni et al.9
5.8,10,12.2,74.7,1,5.6,1.722766598,4.313480092,ALFAM21
6.5,40,15,140,1,5.6,1.722766598,4.941642423,Ni et al.16
5.8,23,8.9,188.4,1,5.5,1.704748092,5.238567362,ALFAM21
5.9,15.8,7.8,204.1,1,5.5,1.704748092,5.31861007,ALFAM21
5.8,23,19.9,73,1,5.4,1.686398954,4.290459441,ALFAM21
5.8,23,19.8,36.5,1,5.4,1.686398954,3.597312261,ALFAM21
6.5,17,20.8,115.3,1,5.3,1.667706821,4.747537427,ALFAM21
7.2,30,20,70.2,1,5.3,1.667706821,4.251348311,Häni et al.9
5.8,23,19.7,99,1,5.3,1.667706821,4.59511985,ALFAM21
7.3,30,13,56,1,5.2,1.648658626,4.025351691,Häni et al.9
7.2,30,9,55.1,1,5.2,1.648658626,4.009149716,Häni et al.9
6.1,24.5,10.7,118.3,1,5.2,1.648658626,4.773223771,ALFAM21
5.8,28,14.6,177.5,1,5.1,1.62924054,5.178970609,ALFAM21
5.8,10,12.1,73,1,5,1.609437912,4.290459441,ALFAM21
5.8,31,5.8,167.4,1,5,1.609437912,5.120386158,ALFAM21
6.5,21,13.3,121.3,1,4.9,1.589235205,4.798266816,ALFAM21
5.8,28,14.6,177.5,1,4.9,1.589235205,5.178970609,ALFAM21
7,12.9,12.8,82.9,1,4.9,1.589235205,4.417635062,ALFAM21
7.1,30,16,64,1,4.8,1.568615918,4.158883083,Häni et al.9
6.1,40,16.7,120,1,4.8,1.568615918,4.787491743,Gericke et al.14
7.3,30,17,49.6,1,4.7,1.547562509,3.903990834,Häni et al.9
6.5,24,16.4,97.4,1,4.7,1.547562509,4.578826211,ALFAM21
7.3,30,13,56,1,4.6,1.526056303,4.025351691,Häni et al.9
6.4,14.7,11.9,94.4,1,4.6,1.526056303,4.547541073,ALFAM21
8,14.9,10.2,103.9,1,4.5,1.504077397,4.643428898,ALFAM21
7.2,26.5,16.1,102,1,4.5,1.504077397,4.624972813,ALFAM21
5.8,28,14.6,75.4,1,4.5,1.504077397,4.322807275,ALFAM21
6.1,40,16.7,120,1,4.5,1.504077397,4.787491743,Gericke et al.14
5.8,28,14.6,165.4,1,4.5,1.504077397,5.108366783,ALFAM21
5.8,28,14.6,37.7,1,4.5,1.504077397,3.629660094,ALFAM21
8,25.2,12,87.3,1,4.3,1.458615023,4.469350463,ALFAM21
5.8,23,19.9,36.5,1,4.3,1.458615023,3.597312261,ALFAM21
6.5,21,13.3,121.3,1,4.3,1.458615023,4.798266816,ALFAM21
6.1,28.3,9.9,121.8,1,4.3,1.458615023,4.802380355,ALFAM21
7.6,30,2,55,1,4.3,1.458615023,4.007333185,Häni et al.9
6.5,28,1.7,116.7,1,4.2,1.435084525,4.759606539,ALFAM21
7.3,30,9,48.6,1,4.2,1.435084525,3.883623531,Häni et al.9
7.3,30,16,46.4,1,4.2,1.435084525,3.837299459,Häni et al.9
5.8,23,19.9,36.5,1,4,1.386294361,3.597312261,ALFAM21
5.8,10,12.1,54.8,1,3.9,1.360976553,4.003690194,ALFAM21
6.5,21,13.4,121.3,1,3.9,1.360976553,4.798266816,ALFAM21
7.2,30,15,59.4,1,3.9,1.360976553,4.084294226,Häni et al.9
7.7,30,23,24.7,1,3.9,1.360976553,3.206803244,Häni et al.9
6.5,28,2,94.8,1,3.9,1.360976553,4.551769409,ALFAM21
5.8,23,19.8,99,1,3.8,1.335001067,4.59511985,ALFAM21
8,22,12.3,66,1,3.7,1.30833282,4.189654742,Carozzi et al.5
5.8,28,14.6,111.9,1,3.6,1.280933845,4.717605615,ALFAM21
6.5,28,2,94.7,1,3.6,1.280933845,4.550714,ALFAM21
7.5,25.5,19.6,191.8,1,3.5,1.252762968,5.256453162,ALFAM21
5.8,28,14.6,111.9,1,3.5,1.252762968,4.717605615,ALFAM21
7.8,14.7,30.2,200,0,3.5,1.252762968,5.298317367,Roelcke et al.18
5.8,10,16.9,52.9,1,3.4,1.223775432,3.968403339,ALFAM21
6.5,28,2,94.7,1,3.4,1.223775432,4.550714,ALFAM21
7.5,36,19.2,139,1,3.4,1.223775432,4.934473933,Carozzi et al.5
7,30,15,44.8,1,3.4,1.223775432,3.802208139,Häni et al.9
8.3,20,13.4,180,0,3.3,1.193922468,5.192956851,Yang et al.3
7.1,30,15,75.4,1,3.3,1.193922468,4.322807275,Häni et al.9
5.8,28,14.6,177.5,1,3.3,1.193922468,5.178970609,ALFAM21
5.8,28,14.6,75.4,1,3.2,1.16315081,4.322807275,ALFAM21
7,9,12.8,65.5,1,3.2,1.16315081,4.182050143,ALFAM21
7.1,28.8,12.1,110.1,1,3.2,1.16315081,4.701389044,ALFAM21
6.5,30,4.7,86.6,1,3.2,1.16315081,4.461299816,ALFAM21
6.5,30,4.6,59.3,1,3.1,1.131402111,4.082609306,ALFAM21
6.1,50,8.5,100,1,3.1,1.131402111,4.605170186,Salazar et al.7
5.8,31,5.6,170.7,1,3,1.098612289,5.13990763,ALFAM21
7.1,28.3,16.1,102,1,2.9,1.064710737,4.624972813,ALFAM21
5.8,28,14.6,37.7,1,2.8,1.029619417,3.629660094,ALFAM21
5.8,28,14.6,81.1,1,2.8,1.029619417,4.395682961,ALFAM21
7.7,30,7,47.6,1,2.7,0.993251773,3.862832761,Häni et al.9
6.5,30,4.6,43.3,1,2.7,0.993251773,3.768152635,ALFAM21
6.5,28,2,94.8,1,2.7,0.993251773,4.551769409,ALFAM21
5.8,28,14.6,81.1,1,2.7,0.993251773,4.395682961,ALFAM21
8.3,16,22.5,180,0,2.7,0.993251773,5.192956851,Yang et al.3
5.8,28,14.6,37.7,1,2.5,0.916290732,3.629660094,ALFAM21
7.7,30,23,29.9,1,2.4,0.875468737,3.39785848,Häni et al.9
5.8,28,14.6,111.9,1,2.4,0.875468737,4.717605615,ALFAM21
7.7,30,22,36.4,1,2.4,0.875468737,3.594568775,Häni et al.9
5.8,28,14.6,81.1,1,2.3,0.832909123,4.395682961,ALFAM21
6.5,40,8,140,1,2.3,0.832909123,4.941642423,Ni et al.16
6.5,21,13.4,119.2,1,2.3,0.832909123,4.780802755,ALFAM21
7.8,14.7,30.2,100,0,2.3,0.832909123,4.605170186,Roelcke et al.18
6.8,30,10,33.6,1,2.2,0.78845736,3.514526067,Häni et al.9
8,25.2,12,87.3,1,2.1,0.741937345,4.469350463,ALFAM21
5.8,28,14.6,75.4,1,2.1,0.741937345,4.322807275,ALFAM21
5.8,28,14.6,37.7,1,2,0.693147181,3.629660094,ALFAM21
6.5,30,4.7,29.7,1,2,0.693147181,3.391147046,ALFAM21
5.8,28,14.6,111.9,1,2,0.693147181,4.717605615,ALFAM21
6.5,21,13.4,119.2,1,1.9,0.641853886,4.780802755,ALFAM21
7.8,30,7,28.6,1,1.8,0.587786665,3.353406718,Häni et al.9
6.1,50,8.5,100,0,1.8,0.587786665,4.605170186,Salazar et al.7
6.5,21,13.4,119.2,1,1.8,0.587786665,4.780802755,ALFAM21
7.2,30,14,20.9,1,1.7,0.530628251,3.039749159,Häni et al.9
7.7,30,20,32.2,1,1.6,0.470003629,3.471966453,Häni et al.9
7.7,30,20,24.7,1,1.6,0.470003629,3.206803244,Häni et al.9
8,25.2,12,136.6,1,1.5,0.405465108,4.917056947,ALFAM21
6.9,30,10,26.6,1,1.5,0.405465108,3.280911216,Häni et al.9
7.2,30,14,27,1,1.5,0.405465108,3.295836866,Häni et al.9
6.4,42.6,9.2,100,0,1.4,0.336472237,4.605170186,Salazar et al.6
6.5,21,13.4,121.3,1,1.4,0.336472237,4.798266816,ALFAM21
7.7,30,7,54.4,1,1.3,0.262364264,3.996364154,Häni et al.9
7.8,30,24,31.2,1,1.2,0.182321557,3.440418095,Häni et al.9
7.8,18.5,10.6,100,0,1.1,0.09531018,4.605170186,Roelcke et al.18
6.9,30,20,33.6,1,1,0,3.514526067,Häni et al.9
6.9,30,21,32.4,1,0.8,-0.223143551,3.478158423,Häni et al.9
7.3,30,14,22,1,0.7,-0.356674944,3.091042453,Häni et al.9
6.8,30,10,32.5,1,0.7,-0.356674944,3.481240089,Häni et al.9
