"SpCode","Taxa","Sp_CommonName","Sp_ScientificName","Fam_CommonName","FMP","FMP_BSAI","FMP_GOA","FMP_Arctic","FMP_Salmon","Fam_ScientificName"
"SEARCHR","Fish","Searcher","Bathymaster signatus","ronquils",0,0,0,0,0,"Bathymasteridae"
"SHANNYAR","Fish","Arctic shanny","Stichaeus punctatus","pricklebacks",0,0,0,0,0,"Stichaeidae"
"SHANNYDA","Fish","Daubed shanny","Leptoclinus maculatus","pricklebacks",0,0,0,0,0,"Stichaeidae"
"SHARKSAL","Fish","Salmon shark","Lamna ditropis","white sharks",0,0,0,0,0,"Lamnidae"
"SHRKDOG","Fish","Spiny dogfish","Squalus acanthias","dogfish sharks",1,1,1,0,0,"Squalidae"
"SKATEBIG","Fish","Big skate","Raja binoculata","skates",1,1,1,0,0,"Rajidae"
"SMELTLF","Fish","Longfin smelt","Spirinchus thaleichthys","smelts",0,0,0,0,0,"Osmeridae"
"SMELTPND","Fish","Pond smelt","Hypomesus olidus","smelts",0,0,0,0,0,"Osmeridae"
"SMELTRBW","Fish","Rainbow smelt","Osmerus mordax","smelts",0,0,0,0,0,"Osmeridae"
"SMELTSUR","Fish","Surf smelt","Hypomesus pretiosus","smelts",0,0,0,0,0,"Osmeridae"
"SNAILFFE","Fish","Festive snailfish","Liparis marmoratus","snailfishes",0,0,0,0,0,"Liparidae"
"SNAILFGE","Fish","Gelatinous snailfish","Liparis fabricii","snailfishes",0,0,0,0,0,"Liparidae"
"SNAILFKE","Fish","Kelp snailfish","Liparis tunicatus","snailfishes",0,0,0,0,0,"Liparidae"
"SNAILFLI","Fish","unidentified Liparis snailfish","Liparis species","snailfishes",0,0,0,0,0,"Liparidae"
"SNAILFLO","Fish","Lobefin snailfish","Liparis greeni","snailfishes",0,0,0,0,0,"Liparidae"
"SNAILFRI","Fish","Ribbon snailfish","Liparis cyclopus","snailfishes",0,0,0,0,0,"Liparidae"
"SNAILFRT","Fish","Ringtail snailfish","Liparis rutteri","snailfishes",0,0,0,0,0,"Liparidae"
"SNAILFSH","Fish","Showy snailfish","Liparis pulchellus","snailfishes",0,0,0,0,0,"Liparidae"
"SNAILFSL","Fish","Slipskin snailfish","Liparis fucensis","snailfishes",0,0,0,0,0,"Liparidae"
"SNAILFSP","Fish","Spotted snailfish","Liparis callyodon","snailfishes",0,0,0,0,0,"Liparidae"
"SNAILFTI","Fish","Tidepool snailfish","Liparis florae","snailfishes",0,0,0,0,0,"Liparidae"
"SNAILFVA","Fish","Variegated snailfish","Liparis gibbus","snailfishes",0,0,0,0,0,"Liparidae"
"SNKBLNY4","Fish","Fourline snakeblenny","Eumesogrammus praecisus","pricklebacks",0,0,0,0,0,"Stichaeidae"
"SOLEBUT","Fish","Butter sole","Isopsetta isolepis","righteye flounders",1,1,1,0,0,"Pleuronectidae"
"SOLECO","Fish","C-O sole","Pleuronichthys coenosus","righteye flounders",0,0,0,0,0,"Pleuronectidae"
"SOLEDOV","Fish","Dover sole","Microstomus pacificus","righteye flounders",1,1,1,0,0,"Pleuronectidae"
"SOLEENG","Fish","English sole","Parophrys vetulus","righteye flounders",1,1,1,0,0,"Pleuronectidae"
"SOLEFLTH","Fish","Flathead sole","Hippoglossoides elassodon","righteye flounders",1,1,1,0,0,"Pleuronectidae"
"SOLEPET","Fish","Petrale sole","Eopsetta jordani","righteye flounders",1,1,1,0,0,"Pleuronectidae"
